AspectRatio,CruiseVelocity,Drag_N,WingWeight_kg
5.5,25,4.019763596322165,1.512914301057101
6.0,25,3.844707163980018,1.4973932724002845
6.5,25,3.699136546282069,1.4856190970624765
7.0,25,3.5766584544354867,1.4768399764898532
7.5,25,3.4725915698484453,1.4704898200872223
8.0,25,3.3834304349198594,1.466133990203598
8.5,25,3.306498767178779,1.4634331219102656
9.0,25,3.2397184903136584,1.462118329592605
9.5,25,3.18145181846774,1.4619738089603747
10.0,25,3.1303908021543077,1.462824371628739
10.5,25,3.085478498216176,1.4645263475837171
11.0,25,3.045851688969977,1.466960835507608
11.5,25,3.010798582623805,1.4700286205817084
12.0,25,2.9797271183099454,1.4736462965147732
12.5,25,2.9521409010493516,1.47774327049115
13.0,25,2.9276207083223316,1.482259424416156
13.5,25,2.905810120597224,1.4871432701600158
14.0,25,2.8864042422661917,1.492350480934919
14.5,25,2.869140765936217,1.497842712105216
15.0,25,2.85379282946237,1.5035866468989223
15.5,25,2.840163263516854,1.5095532184623415
16.0,25,2.828079920927535,1.515716971348243
16.5,25,2.817391859709645,1.5220555341175328
17.0,25,2.807966202751046,1.5285491811339276
17.5,25,2.7996855384406674,1.5351804664452442
18.0,25,2.7924457566737058,1.5419339162991976
18.5,25,2.7861542375530757,1.5487957696389547
19.0,25,2.7807283275642725,1.5557537580821585
19.5,25,2.776094051383105,1.5627969185651114
20.0,25,2.772185018152352,1.5699154331474268
20.5,25,2.768941488178564,1.5771004915077271
21.0,25,2.7663095743471517,1.5843441724820009
21.5,25,2.764240555105639,1.5916393416512324
22.0,25,2.762690281845092,1.5989795625104386
22.5,25,2.761618665714334,1.606359019175146
23.0,25,2.7609892317542117,1.6137724489250096
23.5,25,2.7607687302789765,1.6212150831642602
24.0,25,2.760926797117346,1.6286825956078292
24.5,25,2.761435655700502,1.6361710566903862
25.0,25,2.7622698551106275,1.643676893351063
4.0,30,4.300743466602049,1.5944228884549234
4.5,30,4.075722868835466,1.559687440957038
5.0,30,3.899783219540273,1.5332036654434684
5.5,30,3.7594470704305865,1.512914301057101
6.0,30,3.6457357291060193,1.4973932724002845
6.5,30,3.5524379438986506,1.4856190970624765
7.0,30,3.475120925587639,1.4768399764898532
7.5,30,3.410537119258844,1.4704898200872223
8.0,30,3.3562535165113396,1.466133990203598
8.5,30,3.310411843792211,1.4634331219102656
9.0,30,3.2715687171677343,1.462118329592605
9.5,30,3.238586295837065,1.4619738089603747
10.0,30,3.2105557564754075,1.462824371628739
10.5,30,3.1867426460883173,1.4645263475837171
11.0,30,3.1665471505836758,1.466960835507608
11.5,30,3.1494747383352864,1.4700286205817084
12.0,30,3.135114151708461,1.4736462965147732
12.5,30,3.1231206882483673,1.47774327049115
13.0,30,3.1132033466200797,1.482259424416156
13.5,30,3.1051148346457387,1.4871432701600158
14.0,30,3.0986437233156696,1.492350480934919
14.5,30,3.0936082282545048,1.497842712105216
15.0,30,3.08985123844679,1.5035866468989223
15.5,30,3.0872363101871434,1.5095532184623415
16.0,30,3.085644414491166,1.515716971348243
16.5,30,3.0849712794219184,1.5220555341175328
17.0,30,3.0851252009059036,1.5285491811339276
17.5,30,3.086025232743675,1.5351804664452442
18.0,30,3.0875996786418756,1.5419339162991976
18.5,30,3.08978483019274,1.5487957696389547
19.0,30,3.092523905167087,1.5557537580821585
19.5,30,3.09576615004979,1.5627969185651114
20.0,30,3.0994660779753325,1.5699154331474268
20.5,30,3.1035828188608203,1.5771004915077271
21.0,30,3.108079562962798,1.5843441724820009
21.5,30,3.112923082586576,1.5916393416512324
22.0,30,3.118083319460055,1.5989795625104386
22.5,30,3.123533027510905,1.606359019175146
23.0,30,3.129247462576018,1.6137724489250096
23.5,30,3.1352041120184233,1.6212150831642602
24.0,30,3.141382458402082,1.6286825956078292
24.5,30,3.147763772333124,1.6361710566903862
25.0,30,3.1543309303619527,1.643676893351063
4.0,35,4.407791369237155,1.5944228884549234
4.5,35,4.248041699016937,1.559687440957038
5.0,35,4.1238736582551345,1.5332036654434684
5.5,35,4.025533489855442,1.512914301057101
6.0,35,3.946529700636174,1.4973932724002845
6.5,35,3.8823742750874928,1.4856190970624765
7.0,35,3.8298648004649847,1.4768399764898532
7.5,35,3.7866545599272525,1.4704898200872223
8.0,35,3.750984322025466,1.466133990203598
8.5,35,3.7215090831419193,1.4634331219102656
9.0,35,3.6971827377379314,1.462118329592605
9.5,35,3.67717927767164,1.4619738089603747
10.0,35,3.6608376979339634,1.462824371628739
10.5,35,3.64762268424819,1.4645263475837171
11.0,35,3.637096046594328,1.466960835507608
11.5,35,3.6288956190310717,1.4700286205817084
12.0,35,3.6227194423493265,1.4736462965147732
12.5,35,3.6183137467030373,1.47774327049115
13.0,35,3.6154637088582335,1.482259424416156
13.5,35,3.613986263310545,1.4871432701600158
14.0,35,3.613724452971674,1.492350480934919
14.5,35,3.6145429473364956,1.497842712105216
15.0,35,3.6163244554847083,1.5035866468989223
15.5,35,3.618966831767751,1.5095532184623415
16.0,35,3.622380722655509,1.515716971348243
16.5,35,3.626487640002787,1.5220555341175328
17.0,35,3.6312183730222545,1.5285491811339276
17.5,35,3.636511671315284,1.5351804664452442
18.0,35,3.642313146350329,1.5419339162991976
18.5,35,3.6485743501552363,1.5487957696389547
19.0,35,3.655251998667297,1.5557537580821585
19.5,35,3.6623073138579056,1.5627969185651114
20.0,35,3.6697054639207356,1.5699154331474268
20.5,35,3.6774150848465146,1.5771004915077271
21.0,35,3.685407869879181,1.5843441724820009
21.5,35,3.6936582158540805,1.5916393416512324
22.0,35,3.702142917415149,1.5989795625104386
22.5,35,3.710840901702078,1.606359019175146
23.0,35,3.719732997384638,1.6137724489250096
23.5,35,3.7288017329582166,1.6212150831642602
24.0,35,3.7380311600598857,1.6286825956078292
24.5,35,3.747406698253576,1.6361710566903862
25.0,35,3.7569149982983796,1.643676893351063
